"id","tmdb_id","media_type","title","rating","tmdb_backdrop","tmdb_poster","release_date","overview","createdAt","updatedAt"
5,7345,"movie","There Will Be Blood",7.9,"https://image.tmdb.org/t/p/w780/xzqwxyQlhbdnnSpFbBpuDhdVZ92.jpg","https://image.tmdb.org/t/p/w780/gULACAZnPnyauix3mgMKG63UkXt.jpg","2007-12-28","When ruthless oil prospector, Daniel Plainview learns of oil-rich land in California that can be bought cheaply, he moves his operation there and begins manipulating and exploiting the local landowners into selling him their property. Using his young adopted son to project the image of a caring family man, Plainview gains the cooperation of almost all the locals with lofty promises to build schools and cultivate the land to make their community flourish. Over time, Plainview's gradual accumulation of wealth and power causes his true self to surface, and he begins to slowly alienate himself from everyone in his life.","2017-12-11 15:39:09.067-05","2017-12-11 15:39:09.067-05"
6,10683,"movie","Happiness",7.5,"https://image.tmdb.org/t/p/w780/ArW9pVWnEqYKx0zbEIIVr6pzsvO.jpg","https://image.tmdb.org/t/p/w780/uUhzz0n7uDK5EMGyhpzNhMdggjK.jpg","1998-10-16","The lives of many individuals connected by the desire for happiness, often from sources usually considered dark or evil.","2017-12-11 16:24:03.501-05","2017-12-11 16:24:03.501-05"
7,1598,"movie","Cape Fear",7,"https://image.tmdb.org/t/p/w780/zDVrWS9PzI0HJU1kyfO6UNsx9br.jpg","https://image.tmdb.org/t/p/w780/4KvrvcqckdupXXO2YnANtyG7QLK.jpg","1991-11-15","Sam Bowden is a small-town corporate attorney. Max Cady is a tattooed, cigar-smoking, bible-quoting, psychotic rapist. What do they have in common? Fourteen years ago, Sam was a public defender assigned to Max Cady's rape trial, and he made a serious error: he hid a document from his illiterate client that could have gotten him acquitted. Now, the cagey, bibliophile Cady has been released, and he intends to teach Sam Bowden and his family a thing or two about loss.","2017-12-11 16:24:05.947-05","2017-12-11 16:24:05.947-05"
8,1429,"movie","25th Hour",7.2,"https://image.tmdb.org/t/p/w780/9chIFrNEp03mJTFQWFCcx6yeVtE.jpg","https://image.tmdb.org/t/p/w780/hf3KpQ13Z8HS0ZodzooMiR8PBqD.jpg","2002-12-16","The filmed adaptation from David Benioff's novel of the same name. Set in New York, a convicted drug dealer named Monty has one day left of freedom before he is sent to prison. Anger, blame, frustration, betrayal, guilt and loneliness are themes on this last day of friends, family, parties, saying goodbye, and setting things straight. A Spike Lee joint.","2017-12-11 16:24:08.799-05","2017-12-11 16:24:08.799-05"
9,334,"movie","Magnolia",7.5,"https://image.tmdb.org/t/p/w780/9In3XGQSdr2yfgUoEdCpqxEGAOO.jpg","https://image.tmdb.org/t/p/w780/jxkHxPiMfGiFvxSOduNV4oIKJI5.jpg","1999-12-08","An epic mosaic of many interrelated characters in search of happiness, forgiveness, and meaning in the San Fernando Valley.","2017-12-11 16:24:11.802-05","2017-12-11 16:24:11.802-05"
10,18415,"movie","Gummo",6.5,"https://image.tmdb.org/t/p/w780/9xh2m3nBZqtTaDdzVzLU7jCN5Q4.jpg","https://image.tmdb.org/t/p/w780/54rpZVaJ2PJ9SrqFAYqxY2YAdRB.jpg","1997-10-17","Solomon and Tummler are two teenagers killing time in Xenia, Ohio, a small town that has never recovered from the tornado that ravaged the community in the 1970s.","2017-12-11 16:24:17.861-05","2017-12-11 16:24:17.861-05"
11,391713,"movie","Lady Bird",8.6,"https://image.tmdb.org/t/p/w780/2ByWxoMbfE3pxztCJn5qTJ5Ui2Y.jpg","https://image.tmdb.org/t/p/w780/pVtoXPA2zqNTeaR8MOsrD1XvUXK.jpg","2017-09-08","Christine ""Lady Bird"" McPherson, a fiercely independent teenager, tries to make her own way in the world while wanting to get out of her hometown of Sacramento, California & to get away from her complicated mother & recently-unemployed father.","2017-12-11 16:24:20.788-05","2017-12-11 16:24:20.788-05"
12,1878,"movie","Fear and Loathing in Las Vegas",7.2,"https://image.tmdb.org/t/p/w780/vtEKE4OFsnuIh37oo1arOMM2ELv.jpg","https://image.tmdb.org/t/p/w780/u9ffgobMADj6GCafeImbov566j9.jpg","1998-05-22","The hallucinogenic misadventures of sportswriter Raoul Duke and his Samoan lawyer, Dr. Gonzo, on a three-day romp from Los Angeles to Las Vegas. Motoring across the Mojave Desert on the way to Sin City, Duke and his purple haze passenger ingest a cornucopia of drugs ranging from acid to ether.","2017-12-11 16:24:23.834-05","2017-12-11 16:24:23.834-05"
13,451,"movie","Leaving Las Vegas",7.1,"https://image.tmdb.org/t/p/w780/2gJDuPxrZBns5ab47HQbyU2l6Im.jpg","https://image.tmdb.org/t/p/w780/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg","1995-10-27","Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","2017-12-11 16:24:26.728-05","2017-12-11 16:24:26.728-05"
16,805,"movie","Rosemary's Baby",7.6,"https://image.tmdb.org/t/p/w780/3THF7D3uPqhV6k7iKsr2EyjqVPK.jpg","https://image.tmdb.org/t/p/w780/kqA1pt9ovovArgJZi2Lu4Unf6He.jpg","1968-06-12","A young couple moves into an infamous New York apartment building to start a family. Things become frightening as Rosemary begins to suspect her unborn baby isn't safe around their strange neighbors.","2017-12-11 16:26:34.879-05","2017-12-11 16:26:34.879-05"
17,13020,"movie","Enron: The Smartest Guys in the Room",7.2,"https://image.tmdb.org/t/p/w780/jkpTcreM7YOUF4RaDTgTAy9aMJZ.jpg","https://image.tmdb.org/t/p/w780/d1oHF7nFAxC6X5ZNRn1SCSTJYDW.jpg","2005-04-22","A documentary about the Enron corporation, its faulty and corrupt business practices, and how they led to its fall.","2017-12-11 16:26:40.149-05","2017-12-11 16:26:40.149-05"
18,15,"movie","Citizen Kane",8,"https://image.tmdb.org/t/p/w780/xqDfLC7XbiaVN5XxZBWOJCX0hU7.jpg","https://image.tmdb.org/t/p/w780/n8wfFsQ5vtm6dM8vdgXb6OLv2GY.jpg","1941-04-30","Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.","2017-12-11 16:26:49.166-05","2017-12-11 16:26:49.166-05"
19,11517,"movie","Money Train",5.4,"https://image.tmdb.org/t/p/w780/dBavxNhbNZ8uJU9avHrqCCEKuii.jpg","https://image.tmdb.org/t/p/w780/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg","1995-11-21","A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","2017-12-11 16:26:52.052-05","2017-12-11 16:26:52.052-05"
20,10466,"movie","The Money Pit",6.2,"https://image.tmdb.org/t/p/w780/4XRrEIoRHYfRhX7QnnhLT951T6B.jpg","https://image.tmdb.org/t/p/w780/vzUfCSAXDIQemW6Kdk2RU2JtfiV.jpg","1986-03-15","After being evicted from their Manhattan apartment, a couple buys what looks like the home of their dreams – only to find themselves saddled with a bank-account-draining nightmare. Struggling to keep their relationship together as their rambling mansion falls to pieces around them, the two watch in hilarious horror as everything – including the kitchen sink – disappears into the 'Money Pit'.","2017-12-11 16:26:55.05-05","2017-12-11 16:26:55.05-05"
21,11576,"movie","It's a Mad, Mad, Mad, Mad World",7,"https://image.tmdb.org/t/p/w780/jvR2MRGQXQ2bHrJm0gtBJ85kZqN.jpg","https://image.tmdb.org/t/p/w780/jihWfNbGSjGAxiHOX2r1kSlzwIm.jpg","1963-11-07","A group of strangers come across a man dying after a car crash who proceeds to tell them about the $350,000 he buried in California. What follows is the madcap adventures of those strangers as each attempts to claim the prize for himself.","2017-12-11 16:27:04.215-05","2017-12-11 16:27:04.215-05"
22,12405,"movie","Slumdog Millionaire",7.6,"https://image.tmdb.org/t/p/w780/aIv7WnkxMWsswEpaeRuNbC32D9d.jpg","https://image.tmdb.org/t/p/w780/9zknVczWOLhTKnT9nbX2IOCHtZn.jpg","2008-05-12","Jamal Malik is an impoverished Indian teen who becomes a contestant on the Hindi version of ‘Who Wants to Be a Millionaire?’ but, after he wins, he is suspected of cheating.","2017-12-11 16:27:10.241-05","2017-12-11 16:27:10.241-05"
23,1359,"movie","American Psycho",7.3,"https://image.tmdb.org/t/p/w780/zf7L87ZS2cXjaRT5d3ibIUaJvoo.jpg","https://image.tmdb.org/t/p/w780/qXsylPM4Lr5397R3eHrfqHhTUNc.jpg","2000-04-13","A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.","2017-12-11 16:27:13.16-05","2017-12-11 16:27:13.16-05"
24,11011,"movie","Ri¢hie Ri¢h",5.4,"https://image.tmdb.org/t/p/w780/3VK2JEWBN4ZJNKtIkr7QadI8pV4.jpg","https://image.tmdb.org/t/p/w780/hbNmaqJcjg4ChZ5vvfQpNzizoiR.jpg","1994-12-19","Billionaire heir Richie Rich has it all, including Reggie Jackson as a batting coach and Claudia Schiffer as a personal trainer -- but no playmates. What's more, scoundrel Laurence Van Dough is scheming to take over the family empire. Uh-oh! Enter faithful butler Cadbury to save the day.","2017-12-11 16:27:22.164-05","2017-12-11 16:27:22.164-05"
25,1542,"movie","Office Space",7.4,"https://image.tmdb.org/t/p/w780/8QSLv5XMSLDRcFsstS669F5ZRZl.jpg","https://image.tmdb.org/t/p/w780/iO9aZzrfmMvm3IqkFiQyuuUMLh2.jpg","1999-02-19","Three office workers strike back at their evil employers by hatching a hapless attempt to embezzle money.","2017-12-11 16:27:25.134-05","2017-12-11 16:27:25.134-05"
26,12634,"movie","The Big Bounce",5,"https://image.tmdb.org/t/p/w780/up2xW80u5iyDEYdSPhj4gxFFkcU.jpg","https://image.tmdb.org/t/p/w780/yTKph1RyCpJg0tWTuZuI0zLa9dD.jpg","2004-01-30","A small-time con artist and a Hawaiian real estate developer's mischievous, enterprising mistress team up for a potential $200,000 score.","2017-12-11 16:27:28.01-05","2017-12-11 16:27:28.01-05"
